'Cold-shock' DNA-binding domain	PF00313
AbiEi antitoxin C-terminal domain	PF09407
AbiEi_1	PF09407
AbiEi_2	PF09952
AbiEi_3	PF11459
AbiEi_3_N	PF17194
AbiEi_4	PF13338
AbiEii	PF08843
AbiGi	PF10899
AbiGii_2	PF16873
AbiH	PF14253
Abi_2	PF07751
Abi_C	PF14355
Abi_HHR	PF07815
Abl-interactor HHR	PF07815
Abnormal spindle-like microcephaly-assoc'd, ASPM-SPD-2-Hydin	PF15780
Abortive infection C-terminus	PF14355
Abp2	PF09441
AbrB-like	PF14250
AbrB-like transcriptional regulator	PF14250
Abscisic acid G-protein coupled receptor	PF12430
Acatn	PF13000
AccI restriction endonuclease	PF09545
Accessory Sec secretory system ASP3	PF15432
Accessory Sec system GspB-transporter	PF16929
Accessory Sec system protein Asp1	PF16993
Accessory gene regulator B	PF04647
Accessory secretory protein Sec Asp4	PF16996
Accessory secretory protein Sec, Asp5	PF17000
AceK	PF06315
AcetDehyd-dimer	PF09290
Acetamidase/Formamidase family	PF03069
Acetate_kinase	PF00871
Acetoacetate decarboxylase (ADC)	PF06314
Acetohydroxy acid isomeroreductase, NADPH-binding domain	PF07991
Acetohydroxy acid isomeroreductase, catalytic domain	PF01450
Acetokinase family	PF00871
Acetone carboxylase gamma subunit	PF08882
Acetone_carb_G	PF08882
Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit	PF03255
Acetyl xylan esterase (AXE1)	PF05448
Acetyl-CoA carboxylase, central region	PF08326
Acetyl-CoA dehydrogenase C-terminal like	PF12806
Acetyl-CoA hydrolase/transferase C-terminal domain	PF13336
Acetyl-CoA hydrolase/transferase N-terminal domain	PF02550
Acetyl-coenzyme A synthetase N-terminus	PF16177
Acetyl-coenzyme A transporter 1	PF13000
AcetylCoA_hyd_C	PF13336
AcetylCoA_hydro	PF02550
Acetylcholinesterase tetramerisation domain	PF08674
Acetyltransf_1	PF00583
Acetyltransf_10	PF13673
Acetyltransf_11	PF13720
Acetyltransf_13	PF13880
Acetyltransf_14	PF03421
Acetyltransf_15	PF17013
Acetyltransf_16	PF05301
Acetyltransf_2	PF00797
Acetyltransf_3	PF13302
Acetyltransf_4	PF13420
Acetyltransf_5	PF13444
Acetyltransf_6	PF13480
Acetyltransf_7	PF13508
Acetyltransf_8	PF13523
Acetyltransf_9	PF13527
Acetyltransf_CG	PF14542
Acetyltransferase (GNAT) domain	PF12568
Acetyltransferase (GNAT) domain	PF13302
Acetyltransferase (GNAT) domain	PF13420
Acetyltransferase (GNAT) domain	PF13444
Acetyltransferase (GNAT) domain	PF13480
Acetyltransferase (GNAT) domain	PF13508
Acetyltransferase (GNAT) domain	PF13523
Acetyltransferase (GNAT) domain	PF13527
Acetyltransferase (GNAT) domain	PF13673
Acetyltransferase (GNAT) family	PF00583
Acid Phosphatase	PF12689
Acid phosphatase of thylakoid lumen protein	PF04536
Acid shock protein repeat	PF06392
Acid_PPase	PF12689
Acid_phosphat_B	PF03767
Acidic C-terminal region of sodium channel modifier 1 SCNM1	PF15805
Acidic N-terminal SPT6	PF14632
Acidic fibroblast growth factor binding (FIBP)	PF05427
Acidic phosphoprotein precursor PCEMA1	PF07418
Aconitase	PF00330
Aconitase C-terminal domain	PF00694
Aconitase family (aconitate hydratase)	PF00330
Aconitase_2_N	PF06434
Aconitase_B_N	PF11791
Aconitase_C	PF00694
Aconitate B N-terminal domain	PF11791
Aconitate hydratase 2 N-terminus	PF06434
Acp26Ab	PF05777
AcrB/AcrD/AcrF family	PF00873
AcrZ	PF10766
Acrosome formation-associated factor	PF15339
Act-Frag_cataly	PF09192
ActA	PF05058
ActA Protein	PF05058
Actin	PF00022
Actin	PF00022
Actin cross-linking domain	PF16671
Actin cytoskeleton-regulatory complex protein END3	PF12761
Actin interacting protein 3	PF03915
Actin-binding domain of plant-specific actin-binding protein	PF16711
Actin-fragmin kinase, catalytic	PF09192
Actin-like protein 7A N-terminus	PF16840
Actin-rearrangement-inducing factor (Arif-1)	PF06770
Actin_micro	PF17003
Actino_peptide	PF14408
Actinobacillus actinomycetemcomitans leukotoxin activator LktC	PF06261
Activator of Hsp90 ATPase homolog 1-like protein	PF08327
Activator of Hsp90 ATPase, N-terminal	PF09229
Activator of apoptosis harakiri	PF15196
Activator of aromatic catabolism	PF06505
Activator of mitotic machinery Cdc14 phosphatase activation C-term	PF08632
Activator-TraM	PF11657
Activator_LAG-3	PF11498
Active regulator of SIRT1, or 40S ribosomal protein S19-binding 1	PF15684
Activin types I and II receptor domain	PF01064
Activin_recp	PF01064
Acyl CoA binding protein	PF00887
Acyl transferase	PF02273
Acyl transferase domain	PF00698
Acyl-ACP thioesterase	PF01643
Acyl-ACP_TE	PF01643
Acyl-ATP thioesterase	PF12590
Acyl-CoA carboxylase epsilon subunit	PF13822
Acyl-CoA dehydrogenase C terminal	PF12186
Acyl-CoA dehydrogenase N terminal	PF12418
Acyl-CoA dehydrogenase, C-terminal domain	PF00441
Acyl-CoA dehydrogenase, C-terminal domain	PF08028
Acyl-CoA dehydrogenase, N-terminal domain	PF02771
Acyl-CoA dehydrogenase, middle domain	PF02770
Acyl-CoA oxidase	PF01756
Acyl-CoA reductase (LuxC)	PF05893
Acyl-CoA thioester hydrolase/BAAT N-terminal region	PF04775
Acyl-CoA thioesterase	PF02551
Acyl-CoA_dh_1	PF00441
Acyl-CoA_dh_2	PF08028
Acyl-CoA_dh_C	PF12806
Acyl-CoA_dh_M	PF02770
Acyl-CoA_dh_N	PF02771
Acyl-CoA_ox_N	PF14749
Acyl-carrier	PF14573
Acyl-coenzyme A oxidase N-terminal	PF14749
Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase	PF03417
Acyl-protein synthetase, LuxE	PF04443
Acyl-thio_N	PF12590
AcylCoA_DH_N	PF12418
AcylCoA_dehyd_C	PF12186
Acyl_CoA_thio	PF02551
Acyl_transf_1	PF00698
Acyl_transf_2	PF02273
Acyl_transf_3	PF01757
Acylphosphatase	PF00708
Acylphosphatase	PF00708
Acyltransf_C	PF16076
Acyltransferase	PF01553
Acyltransferase	PF01553
Acyltransferase C-terminus	PF16076
Acyltransferase family	PF01757
AdHead_fibreRBD	PF16812
Ad_Cy_reg	PF16701
Ad_cyc_g-alpha	PF08509
Ada3	PF10198
Ada_Zn_binding	PF02805
Adap_comp_sub	PF00928
Adaptin AP4 complex epsilon appendage platform	PF14807
Adaptin C-terminal domain	PF02883
Adaptin N terminal region	PF01602
Adaptin_N	PF01602
Adaptin_binding	PF10199
Adaptor complexes medium subunit family	PF00928
Adenine deaminase C-terminal domain	PF13382
Adenine-specific methyltransferase EcoRI	PF13651
Adenine_deam_C	PF13382
Adenine_glyco	PF03352
Adeno_100	PF02438
Adeno_52K	PF03052
Adeno_E1A	PF02703
Adeno_E1B_19K	PF01691
Adeno_E1B_55K	PF01696
Adeno_E1B_55K_N	PF04623
Adeno_E3	PF06040
Adeno_E3A	PF05248
Adeno_E3B	PF03376
Adeno_E3_14_5	PF04834
Adeno_E3_15_3	PF03307
Adeno_E3_CR1	PF02440
Adeno_E3_CR2	PF02439
Adeno_E4	PF05385
Adeno_E4_34	PF04528
Adeno_E4_ORF3	PF06931
Adeno_GP19K	PF04881
Adeno_IVa2	PF02456
Adeno_PIX	PF03955
Adeno_PV	PF03910
Adeno_PVIII	PF01310
Adeno_PX	PF05829
Adeno_Penton_B	PF01686
Adeno_VII	PF03228
Adeno_hexon	PF01065
Adeno_hexon_C	PF03678
Adeno_knob	PF00541
Adeno_shaft	PF00608
Adeno_terminal	PF02459
Adenomatosis polyposis coli down-regulated 1	PF14921
Adenomatous polyposis coli tumour suppressor protein	PF11414
Adenosine deaminase z-alpha domain	PF02295
Adenosine specific kinase	PF04008
Adenosine-5'-phosphosulfate reductase beta subunit	PF12139
Adenosine-deaminase (editase) domain	PF02137
Adenosine/AMP deaminase	PF00962
Adenosine/AMP deaminase N-terminal	PF08451
Adenosine_kin	PF04008
Adenosylcobinamide amidohydrolase	PF01955
Adenosylmethionine decarboxylase	PF01536
Adenoviral DNA terminal protein	PF02459
Adenoviral core protein VII	PF03228
Adenoviral fibre protein (knob domain)	PF00541
Adenoviral fibre protein (repeat/shaft region)	PF00608
Adenoviral protein L1 52/55-kDa	PF03052
Adenovirus 15.3kD protein in E3 region	PF03307
Adenovirus E1B 19K protein / small t-antigen	PF01691
Adenovirus E1B protein N-terminus	PF04623
Adenovirus E3 protein	PF06040
Adenovirus E3 region protein CR1	PF02440
Adenovirus E3 region protein CR2	PF02439
Adenovirus E3A	PF05248
Adenovirus E3B protein	PF03376
Adenovirus EB1 55K protein / large t-antigen	PF01696
Adenovirus GP19K	PF04881
Adenovirus IVa2 protein	PF02456
Adenovirus early E4 34 kDa protein conserved region	PF04528
Adenovirus endoprotease	PF00770
Adenovirus hexon associated protein, protein VIII	PF01310
Adenovirus hexon-associated protein (IX)	PF03955
Adenovirus late L2 mu core protein (Protein X)	PF05829
Adenovirus minor core protein PV	PF03910
Adenovirus penton base protein	PF01686
Adenyl_cycl_N	PF12633
Adenyl_transf	PF04439
Adenylate and Guanylate cyclase catalytic domain	PF00211
Adenylate cyclase G-alpha binding domain	PF08509
Adenylate cyclase NT domain	PF12633
Adenylate cyclase associated (CAP) C terminal	PF08603
Adenylate cyclase associated (CAP) N terminal	PF01213
Adenylate cyclase regulatory domain	PF16701
Adenylate cyclase, class-I	PF01295
Adenylate kinase	PF00406
Adenylate kinase, active site lid	PF05191
Adenylate sensor of SNF1-like protein kinase	PF16579
AdenylateSensor	PF16579
Adenylate_cycl	PF01295
Adenylosuccinate lyase C-terminal	PF08328
Adenylosuccinate lyase C-terminus	PF10397
Adenylosuccinate synthetase	PF00709
Adenylsucc_synt	PF00709
Adenylyl cyclase N-terminal extracellular and transmembrane region	PF16214
Adenylylsulphate kinase	PF01583
Adhes-Ig_like	PF09085
Adhesin biosynthesis transcription regulatory protein	PF03333
Adhesin from Campylobacter	PF16668
Adhesin lipoprotein	PF01540
Adhesin of bacterial autotransporter system, probable stalk	PF16168
Adhesin_Dr	PF04619
Adhesin_E	PF16747
Adhesin_P1	PF03257
Adhesion molecule, immunoglobulin-like	PF09085
Adhesion protein FadA	PF09403
Adipogenin	PF15202
Adipogenin	PF15202
Adipokin_hormo	PF06377
Adipokinetic hormone	PF06377
AdoHcyase	PF05221
AdoHcyase_NAD	PF00670
AdoMet dependent proline di-methyltransferase	PF05891
AdoMetDC_leader	PF08132
AdoMet_MTase	PF07757
AdoMet_Synthase	PF01941
AdoMet_dc	PF02675
AefR-like transcriptional repressor, C-terminal region	PF14246
Aegerolysin	PF06355
Aegerolysin	PF06355
Aerolysin	PF01117
Aerolysin toxin	PF01117
Aerolysin/Pertussis toxin (APT) domain	PF03440
Aerotolerance regulator N-terminal	PF07584
AfaD	PF05775
Afadin- and alpha -actinin-Binding	PF11559
Afaf	PF15339
Afi1	PF07792
AflR	PF08493
Aflatoxin regulatory protein	PF08493
African swine fever virus (ASFV) L11L protein	PF05293
African swine fever virus J13L protein	PF05568
African swine fever virus multigene family 360 protein	PF01671
AfsA	PF03756
Aft1 HRA domain	PF11786
Aft1 HRR domain	PF11787
Aft1 osmotic stress response (OSM) domain	PF11785
Aft1_HRA	PF11786
Aft1_HRR	PF11787
Aft1_OSA	PF11785
AftA_C	PF12249
AftA_N	PF12250
Ag332	PF04671
Agenet	PF05641
Agenet domain	PF05641
Agglutinin	PF07468
Agglutinin domain	PF07468
Ago_hook	PF10427
Agouti	PF05039
Agouti protein	PF05039
AgrB	PF04647
AgrD	PF05931
Agrin NtA domain	PF03146
Agro_virD5	PF04730
Agrobacterium VirD5 protein	PF04730
Agrobacterium tumefaciens protein Atu4866	PF11512
Aha1_N	PF09229
AhpC-TSA	PF00578
AhpC-TSA_2	PF13911
AhpC/TSA antioxidant enzyme	PF13911
AhpC/TSA family	PF00578
Aida N-terminus	PF08910
Aida_C2	PF14186
Aida_N	PF08910
Ail_Lom	PF06316
AlaDh_PNT_C	PF01262
AlaDh_PNT_N	PF05222
AlaE	PF06610
Ala_racemase_C	PF00842
Ala_racemase_N	PF01168
Alanine dehydrogenase/PNT, C-terminal domain	PF01262
Alanine dehydrogenase/PNT, N-terminal domain	PF05222
Alanine racemase, C-terminal domain	PF00842
Alanine racemase, N-terminal domain	PF01168
Alanine-glyoxylate amino-transferase	PF12897
Alanine-zipper, major outer membrane lipoprotein	PF11839
Alanine_zipper	PF11839
Alb1	PF09135
Alb1	PF09135
AlbA_2	PF04326
Alba	PF01918
Alba	PF01918
Albumin I chain a	PF16720
Albumin I chain b	PF08027
Albumin_I	PF08027
Albumin_I_a	PF16720
AlcCBM31	PF11606
Alcohol acetyltransferase	PF07247
Alcohol dehydrogenase GroES-associated	PF13823
Alcohol dehydrogenase GroES-like domain	PF08240
Alcohol dehydrogenase transcription factor Myb/SANT-like	PF10545
Ald_Xan_dh_C	PF01315
Ald_Xan_dh_C2	PF02738
Aldedh	PF00171
Aldehyde dehydrogenase family	PF00171
Aldehyde ferredoxin oxidoreductase, N-terminal domain	PF02730
Aldehyde ferredoxin oxidoreductase, domains 2 & 3	PF01314
Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain	PF01315
Aldo/keto reductase family	PF00248
Aldo_ket_red	PF00248
Aldolase	PF01081
Aldolase_II	PF00596
Aldose 1-epimerase	PF01263
Aldose_epim	PF01263
Alg14	PF08660
Alg6_Alg8	PF03155
Alg9-like mannosyltransferase family	PF03901
AlgF	PF11182
Alginate O-acetyl transferase AlgF	PF11182
Alginate export	PF13372
Alginate lyase	PF05426
Alginate lyase	PF08787
Alginate_exp	PF13372
Alginate_lyase	PF05426
Alginate_lyase2	PF08787
AlkA N-terminal domain	PF06029
AlkA_N	PF06029
Alk_phosphatase	PF00245
Alkali metal cation/H+ antiporter Nha1 C terminus	PF08619
Alkaline and neutral invertase	PF12899
Alkaline phosphatase	PF00245
Alkyl sulfatase C-terminal	PF14864
Alkyl sulfatase dimerisation	PF14863
Alkyl_sulf_C	PF14864
Alkyl_sulf_dimr	PF14863
Alkylmercury lyase	PF03243
Allantoicase	PF03561
Allantoicase repeat	PF03561
Allatostatin	PF05953
Allatostatin	PF05953
Allene oxide cyclase	PF06351
Allene_ox_cyc	PF06351
Allergen Fel d I-B chain	PF09252
Allexi_40kDa	PF05549
Allexivirus 40kDa protein	PF05549
Alliinase EGF-like domain	PF04863
Alliinase_C	PF04864
Allinase	PF04864
Allophanate hydrolase subunit 1	PF02682
Allophanate hydrolase subunit 2	PF02626
Alph_Pro_TM	PF09608
Alpha 1,4-glycosyltransferase conserved region	PF04572
Alpha C protein N terminal	PF08829
Alpha adaptin AP2, C-terminal domain	PF02296
Alpha amylase inhibitor	PF01356
Alpha amylase, C-terminal all-beta domain	PF02806
Alpha amylase, N-terminal ig-like domain	PF02903
Alpha amylase, catalytic domain	PF00128
Alpha and gamma adaptin binding protein p34	PF10199
Alpha conotoxin precursor	PF07365
Alpha crystallin A chain, N terminal	PF00525
Alpha galactosidase A	PF16499
Alpha helical Porin B	PF11565
Alpha helical coiled-coil rod protein (HCR)	PF07111
Alpha mannosidase middle domain	PF09261
Alpha trans-inducing protein (Alpha-TIF)	PF02232
Alpha-2,3-sialyltransferase (CST-I)	PF06002
Alpha-2,8-polysialyltransferase (POLYST)	PF07388
Alpha-2-MRAP_C	PF06401
Alpha-2-MRAP_N	PF06400
Alpha-2-macroglobulin MG1 domain	PF11974
Alpha-2-macroglobulin RAP, C-terminal domain	PF06401
Alpha-2-macroglobulin RAP, N-terminal domain	PF06400
Alpha-2-macroglobulin family	PF00207
Alpha-2-macroglobulin family N-terminal region	PF07703
Alpha-A conotoxin PIVA-like protein	PF07829
Alpha-E	PF04168
Alpha-L-AF_C	PF06964
Alpha-L-arabinofuranosidase B (ABFB) domain	PF05270
Alpha-L-arabinofuranosidase B, catalytic	PF09206
Alpha-L-arabinofuranosidase C-terminal domain	PF06964
Alpha-L-fucosidase	PF01120
Alpha-L-fucosidase C-terminal domain	PF16757
Alpha-L-rhamnosidase N-terminal domain	PF08531
Alpha-N-acetylglucosaminidase (NAGLU) C-terminal domain	PF12972
Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain	PF12971
Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain	PF05089
Alpha-acetolactate decarboxylase	PF03306
Alpha-amyl_C	PF09071
Alpha-amyl_C2	PF07821
Alpha-amylase	PF00128
Alpha-amylase C-terminal beta-sheet domain	PF07821
Alpha-amylase, C terminal	PF09071
Alpha-amylase_C	PF02806
Alpha-amylase_N	PF02903
Alpha-haemoglobin stabilising protein	PF09236
Alpha-helical domain 2	PF14456
Alpha-kinase family	PF02816
Alpha-lytic protease prodomain	PF02983
Alpha-macro-globulin thiol-ester bond-forming region	PF10569
Alpha-mann_mid	PF09261
Alpha/beta enterocin family	PF08129
Alpha/beta hydrolase	PF06259
Alpha/beta hydrolase family	PF12695
Alpha/beta hydrolase family	PF12697
Alpha/beta hydrolase of unknown function (DUF1057)	PF06342
Alpha/beta hydrolase of unknown function (DUF1100)	PF06500
Alpha/beta hydrolase of unknown function (DUF1400)	PF07176
Alpha/beta hydrolase of unknown function (DUF900)	PF05990
Alpha/beta hydrolase of unknown function (DUF915)	PF06028
Alpha/beta-hydrolase family	PF10081
Alpha/beta-hydrolase family N-terminus	PF15420
AlphaC_N	PF08829
Alpha_E1_glycop	PF01589
Alpha_E2_glycop	PF00943
Alpha_E3_glycop	PF01563
Alpha_GJ	PF03229
Alpha_L_fucos	PF01120
Alpha_TIF	PF02232
Alpha_adaptinC2	PF02883
Alpha_adaptin_C	PF02296
Alpha_kinase	PF02816
Alphaherpesvirus glycoprotein E	PF02480
Alphaherpesvirus glycoprotein I	PF01688
Alphaherpesvirus tegument protein US9	PF06072
Alphavirus E1 glycoprotein	PF01589
Alphavirus E2 glycoprotein	PF00943
Alphavirus E3 glycoprotein	PF01563
Alphavirus core protein	PF00944
Alphavirus glycoprotein J	PF03229
AltA1	PF16541
Altered inheritance of mitochondria 5	PF17050
Altered inheritance of mitochondria protein 3	PF17096
Alternaria alternata allergen 1	PF16541
Alternative WD40 repeat motif	PF14077
Alternative oxidase	PF01786
Alternative splicing regulator	PF09750
Aluminium activated malate transporter	PF11744
Aluminium induced protein	PF12481
Alveol-reg_P311	PF11092
AlwI restriction endonuclease	PF09491
Amastin	PF07344
Amastin surface glycoprotein	PF07344
Amb V Allergen	PF03913
Amb_V_allergen	PF03913
Amdo_NSP	PF12475
Amdovirus non-structural protein	PF12475
Amelin	PF05111
Ameloblastin precursor (Amelin)	PF05111
Amelogenin	PF02948
Amelogenin	PF02948
Amelotin	PF15757
Amelotin	PF15757
AmiS/UreI family transporter	PF02293
AmiS_UreI	PF02293
Amidase	PF01425
Amidase	PF01425
Amidase02_C	PF12123
Amidase_2	PF01510
Amidase_3	PF01520
Amidase_5	PF05382
Amidase_6	PF12671
Amidinotransf	PF02274
Amidinotransferase	PF02274
Amido_AtzD_TrzD	PF09663
Amidohydro_1	PF01979
Amidohydro_2	PF04909
Amidohydro_3	PF07969
Amidohydrolase	PF04909
Amidohydrolase family	PF01979
Amidohydrolase family	PF07969
Amidohydrolase ring-opening protein (Amido_AtzD_TrzD)	PF09663
Amidoligase_2	PF12224
Amiloride-sensitive sodium channel	PF00858
Amino acid kinase family	PF00696
Amino acid permease	PF00324
Amino acid permease	PF13520
Amino acid permease N-terminal	PF08403
Amino acid synthesis	PF06684
Amino terminal of the G-protein receptor rhodopsin	PF10413
Amino-terminal Zinc-binding domain of ubiquitin ligase E3A	PF16558
Amino-transferase class IV	PF01063
Amino_oxidase	PF01593
Aminoacyl tRNA synthetase class II, N-terminal domain	PF02912
Aminoacyl-tRNA editing domain	PF04073
Aminoglyc_resit	PF10706
Aminoglycoside 3-N-acetyltransferase	PF02522
Aminoglycoside-2''-adenylyltransferase	PF10706
Aminoglycoside/hydroxyurea antibiotic resistance kinase	PF04655
Aminomethyltransferase folate-binding domain	PF01571
Aminopep	PF10023
Aminopeptidase I zinc metalloprotease (M18)	PF02127
Aminopeptidase P, N-terminal domain	PF05195
Aminotran_1_2	PF00155
Aminotran_3	PF00202
Aminotran_4	PF01063
Aminotran_5	PF00266
Aminotran_MocR	PF12897
Aminotransferase class I and II	PF00155
Aminotransferase class-III	PF00202
Aminotransferase class-V	PF00266
Aminotransferase ubiquitination site	PF07706
Ammonia monooxygenase	PF02461
Ammonia monooxygenase/methane monooxygenase, subunit C	PF04896
Ammonium Transporter Family	PF00909
Ammonium_transp	PF00909
Amnionless	PF14828
Amnionless	PF14828
AmoA	PF05145
AmoC	PF04896
AmpE	PF17113
Amylo-alpha-1,6-glucosidase	PF06202
Amyloid A4 N-terminal heparin-binding	PF02177
Amyotrophic lateral sclerosis 2 candidate 11	PF15729
Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8	PF15299
An_peroxidase	PF03098
Anabaena sensory rhodopsin transducer	PF07100
Anaerobic c4-dicarboxylate membrane transporter	PF03605
Anaerobic ribonucleoside-triphosphate reductase	PF13597
Anaphase promoting complex (APC) subunit 2	PF08672
Anaphase promoting complex subunit 8 / Cdc23	PF04049
Anaphase-promoting complex APC subunit CDC26	PF10471
Anaphase-promoting complex subunit 1	PF12859
Anaphase-promoting complex subunit 11 RING-H2 finger	PF12861
Anaphase-promoting complex subunit 15	PF15243
Anaphase-promoting complex subunit 4 WD40 domain	PF12894
Anaphase-promoting complex subunit 5	PF12862
Anaphase-promoting complex subunit 9	PF12856
Anaphase-promoting complex, cyclosome, subunit 3	PF12895
Anaphase-promoting complex, cyclosome, subunit 4	PF12896
Anaphase-promoting complex, subunit 10 (APC10)	PF03256
Anaphylotoxin-like domain	PF01821
Androgen receptor	PF02166
Androgen_recep	PF02166
Anemone_cytotox	PF06369
Anemonia sulcata toxin III family	PF08098
Anenome neurotoxin	PF00706
AnfG_VnfG	PF03139
AnfO_nitrog	PF09582
Angiomotin C terminal	PF12240
Angiomotin_C	PF12240
Angiotensin II, type I receptor-associated protein (AGTRAP)	PF06396
Angiotensin-converting enzyme	PF01401
Anillin	PF08174
Anillin N-terminus	PF16018
Anillin_N	PF16018
Animal haem peroxidase	PF03098
Anion-transporting ATPase	PF02374
Ank	PF00023
Ank_2	PF12796
Ank_3	PF13606
Ank_4	PF13637
Ank_5	PF13857
Ankyrin repeat	PF00023
Ankyrin repeat	PF13606
Ankyrin repeats (3 copies)	PF12796
Ankyrin repeats (many copies)	PF13637
Ankyrin repeats (many copies)	PF13857
Ankyrin-G binding motif of KCNQ2-3	PF11956
Annelid erythrocruorin linker subunit C-terminus	PF16915
Annexin	PF00191
Annexin	PF00191
Annexin-2 receptor	PF15721
Anoct_dimer	PF16178
Anoctamin	PF04547
Anophelin	PF10731
Anp1	PF03452
Anp1	PF03452
Ant antimicrobial peptide	PF08024
AntA	PF08346
AntA/AntB antirepressor	PF08346
Ant_C	PF05586
Antagonist of EGFR signalling, Argos	PF11581
Antenna complex alpha/beta subunit	PF00556
Anth_Ig	PF05587
Anth_synt_I_N	PF04715
Anthranilate synthase component I, N terminal region	PF04715
Anthrax receptor C-terminus region	PF05586
Anthrax receptor extracellular domain	PF05587
Anthrax toxin LF subunit	PF03497
Anthrax toxin lethal factor, N- and C-terminal domain	PF07737
Anthrax toxin lethal factor, middle domain	PF09156
Anthrax-tox_M	PF09156
Anthrax_toxA	PF03497
Anti sigma-E protein RseA, C-terminal domain	PF03873
Anti sigma-E protein RseA, N-terminal domain	PF03872
Anti-Mullerian hormone, N terminal region	PF04709
Anti-Sigma Factor A	PF09010
Anti-TRAP	PF15777
Anti-adapt_IraP	PF10796
Anti-repressor SinI	PF08671
Anti-sigma factor N-terminus	PF12791
Anti-sigma-28 factor, FlgM	PF04316
Anti-sigma-D factor RsdA to sigma factor binding region	PF16751
Anti-sigma-K factor rskA	PF10099
Antiactivator protein ExsD	PF16806
Antibiotic biosynthesis monooxygenase	PF03992
Antibiotic_NAT	PF02522
Anticodon binding domain	PF03129
Anticodon binding domain of tRNAs	PF12745
Anticodon nuclease activator family	PF08133
Anticodon-binding domain	PF09793
Anticodon-binding domain of tRNA	PF08264
Anticodon_1	PF08264
Antidote-toxin recognition MazE, bacterial antitoxin	PF04014
Antifungal peptide	PF11410
Antifungal peptide termicin	PF11415
Antifungal protein	PF11402
Antifungal_pept	PF11410
Antifungal_prot	PF11402
Antig_Caf1	PF09255
