11p Partial Monosomy Syndrome	D017624
Adenosquamous Carcinomas	D018196
Adenoviridae Infection	D000257
Adenoviridae Infections	D000257
Adenovirus Infection	D000257
Adenovirus Infection, Human	D000258
Adenovirus Infections	D000257
Adenovirus Infections, Human	D000258
Adhesions, Tissue	D000267
Adhesion, Tissue	D000267
ADH Syndrome, Inappropriate	D007177
Adie Pupil	D015845
Adie's Pupil	D015845
Adies Pupil	D015845
Adie's Syndrome	D000270
Adie Syndrome	D000270
Adiposalgia	D000274
Adiposalgias	D000274
Adipose Tissue Neoplasm	D018205
Adipose Tissue Neoplasms	D018205
Adipose Tissue Rheumatism	D000274
Adipose Tissue Rheumatisms	D000274
Adiposis Dolorosa	D000274
Adnexal and Skin Appendage Neoplasms	D018294
Adnexal Disease	D000291
Adnexal Diseases	D000291
Adolescent Coxa Vara	D060048
Adolescent Coxa Varas	D060048
Adolescent Kyphoses	D012544
Adolescent Kyphosis	D012544
ADPKD	D016891
Adrenal Cortex Disease	D000303
Adrenal Cortex Diseases	D000303
Adrenal Cortex Neoplasm	D000306
Adrenal Cortex Neoplasms	D000306
Adrenal Cortical Adenoma	D018246
Adrenal Cortical Adenomas	D018246
Adrenal Cortical Carcinoma	D018268
Adrenal Cortical Carcinomas	D018268
Adrenal Cortical Rest Tumor	D000314
Adrenal Gland Disease	D000307
Adrenal Gland Diseases	D000307
Adrenal Gland Hyperfunction	D000308
Adrenal Gland Hypofunction	D000309
Adrenal Gland Neoplasm	D000310
Adrenal Gland Neoplasms	D000310
Adrenal Hyperplasia, Congenital	D000312
Adrenal Hyperplasias, Congenital	D000312
Adrenal Insufficiencies	D000309
Adrenal Insufficiency	D000309
Adrenal Insufficiency, Primary	D000224
Adrenal Neoplasm	D000310
Adrenal Neoplasms	D000310
Adrenal Rest Tumor	D000314
Adrenal Rest Tumors	D000314
Adrenocortical Adenoma	D018246
Adrenocortical Adenomas	D018246
Adrenocortical Carcinoma	D018268
Adrenocortical Carcinomas	D018268
Adrenocortical Hyperfunction	D000308
Adrenocortical Insufficiencies, Primary	D000224
Adrenocortical Insufficiency, Primary	D000224
Adrenogenital Syndrome	D047808
Adrenogenital Syndromes	D047808
Adrenoleukodystrophy	D000326
Adrenoleukodystrophy, X-Linked	D000326
Adult Liver Cancer	D006528
Adult Liver Cancers	D006528
Adult Neurologic Saturnism	D020265
Adult-Onset Diabetes Mellitus	D003924
Adult-Onset Still Disease	D016706
Adult Onset Still Disease	D016706
Adult-Onset Still's Disease	D016706
Adult Onset Still's Disease	D016706
Adult-Onset Stills Disease	D016706
Adult Periodontitides	D055113
Adult Periodontitis	D055113
Adult Polycystic Kidney Disease	D016891
Adult Premature Aging Syndrome	D014898
Adult Progeria	D014898
Adult Refsum Disease	D012035
Adult Refsum Diseases	D012035
Adult Respiratory Distress Syndrome	D012128
Adult Rickets	D010018
Adult T-Cell Leukemia	D015459
Adult T-Cell Leukemia-Lymphoma	D015459
Adult T-Cell Leukemia-Lymphomas	D015459
Adult T-Cell Leukemias	D015459
Adverse Drug Event	D064420
Adverse Drug Events	D064420
Adverse Drug Reaction	D064420
Adverse Drug Reactions	D064420
Adverse Effects, Long Term	D000069451
Adynamia Episodica Hereditaria	D020513
Adynamia Episodica Hereditaria with or without Myotonia	D020513
Aerophagy	D000334
Aesthesioneuroblastoma	D018304
Aesthesioneuroblastomas	D018304
Afferent Loop Syndrome	D000343
Afferent Loop Syndromes	D000343
Afibrinogenemia	D000347
Afibrinogenemias	D000347
African Horse Sickness	D000355
African Horsesickness	D000355
African Horse Sicknesses	D000355
African Horsesicknesses	D000355
African Sleeping Sickness	D014353
African Sleeping Sicknesses	D014353
African Swine Fever	D000357
African Swine Fever Virus Infection	D000357
African Trypanosomiases	D014353
African Trypanosomiasis	D014353
AGA Deficiencies	D054880
AGA Deficiency	D054880
Agammaglobulinemia	D000361
Agammaglobulinemias	D000361
Aganglionic Megacolon	D006627
Ageneses, Corpus Callosum	D061085
Ageneses, Enamel	D003744
Agenesis, Corpus Callosum	D061085
Agenesis, Enamel	D003744
Agenesis of Corpus Callosum	D061085
Agenesis of Corpus Callosum with Chorioretinal Abnormality	D058540
Agenesis of Corpus Callosum with Infantile Spasms and Ocular Abnormalities	D058540
Agenesis of Hemidiaphragm	D065630
Age-Related Macular Degeneration	D008268
Age Related Macular Degeneration	D008268
Age-Related Macular Degenerations	D008268
Age-Related Maculopathies	D008268
Age Related Maculopathies	D008268
Age-Related Maculopathy	D008268
Age Related Maculopathy	D008268
Ageusia	D000370
Aggregation, Pathological Protein	D066263
Aggressive Fibromatoses	D018222
Aggressive Fibromatosis	D018222
Aggressive Natural Killer Cell Leukemia	D054066
Aggressive NK Cell Leukemia	D054066
Aggressive Periodontitis	D010520
Aging, Premature	D019588
Agitated Emergence	D000071257
Agitation, Emergence	D000071257
Agitation, Psychomotor	D011595
Agitations, Emergence	D000071257
Agnogenic Myeloid Metaplasia	D055728
Agnogenic Myeloid Metaplasias	D055728
Agnosia	D000377
Agnosia, Facial Recognition	D020238
Agnosia for Face	D020238
Agnosia for Faces	D020238
Agnosias	D000377
Agnosias, Facial Recognition	D020238
Agnosias, Visual Verbal	D020237
Agnosia, Visual Verbal	D020237
Agrammatic Broca Aphasia	D001039
Agrammatic Broca Aphasias	D001039
Agrammatic Broca's Aphasia	D001039
Agrammatic Brocas Aphasia	D001039
Agrammatic Broca's Aphasias	D001039
Agrammatism	D001039
Agranulocytoses	D000380
Agranulocytoses, Feline	D005254
Agranulocytosis	D000380
Agranulocytosis, Feline	D005254
Agraphia	D000381
Agraphia, Alexia Without	D020237
Agraphias	D000381
Agraphias, Alexia Without	D020237
Agricultural Worker Disease	D000382
Agricultural Worker Diseases	D000382
Agricultural Workers' Disease	D000382
Agricultural Worker's Disease	D000382
Agricultural Workers Disease	D000382
Agricultural Workers' Diseases	D000382
Agricultural Workers Diseases	D000382
Agricultural Worker's Diseases	D000382
Agyria-Pachygyria-Band Spectrum	D054221
Agyria Pachygyria Band Spectrum	D054221
Aicardi's Syndrome	D058540
Aicardi Syndrome	D058540
AIDS	D000163
AIDS Arteritis, Central Nervous System	D020943
AIDS-Associated Enteropathies	D019053
AIDS-Associated Enteropathy	D019053
AIDS Associated Enteropathy	D019053
AIDS-Associated Lymphoma	D016483
AIDS Associated Lymphoma	D016483
AIDS-Associated Lymphomas	D016483
AIDS-Associated Nephropathies	D016263
AIDS Associated Nephropathies	D016263
AIDS-Associated Nephropathy	D016263
AIDS Associated Nephropathy	D016263
AIDS Dementia Complex	D015526
AIDS Enteropathies	D019053
AIDS Enteropathies, Idiopathic	D019053
AIDS Enteropathy	D019053
AIDS Enteropathy, Idiopathic	D019053
AIDS, Feline	D016181
AIDS, Murine	D016183
AIDS Nephropathies	D016263
AIDS Nephropathy	D016263
AIDS-Related Complex	D000386
AIDS Related Complex	D000386
AIDS-Related Dementia Complex	D015526
AIDS Related Dementia Complex	D015526
AIDS-Related Lymphoma	D016483
AIDS Related Lymphoma	D016483
AIDS-Related Lymphomas	D016483
AIDS-Related Opportunistic Infection	D017088
AIDS-Related Opportunistic Infections	D017088
AIDS Related Opportunistic Infections	D017088
AIDS Seroconversion	D006679
AIDS Seroconversions	D006679
AIDS Seropositivities	D006679
AIDS Seropositivity	D006679
AIDS, Simian	D016097
AIDSs, Murine	D016183
AIDSs, Simian	D016097
AIDS Wasting Syndrome	D019247
Ainhum	D000387
Air Embolism	D004618
Air Embolisms	D004618
Airocele, Cranial	D011007
Airoceles, Cranial	D011007
Air Swallowing	D000334
Airway Hyper-Responsiveness	D012130
Airway Hyper Responsiveness	D012130
Airway Obstruction	D000402
Airway Obstruction, Nasal	D015508
Airway Obstructions	D000402
Airway Remodeling	D056151
Airway Remodelings	D056151
Airway Remodelling	D056151
Airway Remodellings	D056151
Airway Wall Remodelling	D056151
Airway Wall Remodellings	D056151
AIVR	D016170
Akathisia, Drug-Induced	D017109
Akathisia, Drug Induced	D017109
Akinetic Autism	D000405
Akinetic Mutism	D000405
Akinetic Mutisms	D000405
Alactasia	D007787
Alagille's Syndrome	D016738
Alagilles Syndrome	D016738
Alagille Syndrome	D016738
Alagille-Watson Syndrome	D016738
Alagille Watson Syndrome	D016738
AL Amyloidoses	D000075363
AL Amyloidosis	D000075363
Albers-Schönberg Disease	D010022
Albers Schönberg Disease	D010022
Albers-Schoenberg Disease	D010022
Albers Schoenberg Disease	D010022
Albers-Schonberg Disease	D010022
Albers Schonberg Disease	D010022
Albinism	D000417
Albinism, Cutaneous	D016116
Albinism, Ocular	D016117
Albinism, Oculocutaneous	D016115
Albinism, Partial	D016116
Albright Hereditary Osteodystrophy without Multiple Hormone Resistance	D011556
Albuminuria	D000419
Albuminurias	D000419
ALCAPA	D063748
ALCAPA Syndrome	D063748
ALCAPA Syndromes	D063748
Alcaptonuria	D000474
Alcaptonurias	D000474
Alcohol Abuse, Nervous System	D020268
Alcohol Addiction	D000437
Alcohol Amnestic Disorder	D000425
Alcohol Amnestic Disorders	D000425
Alcohol Amnestic Syndrome	D000425
Alcohol Amnestic Syndromes	D000425
Alcohol Dependence	D000437
Alcoholic Cardiomyopathy	D002310
Alcoholic Cirrhosis	D008104
Alcoholic Fatty Liver	D005235
Alcoholic Hepatic Cirrhosis	D008104
Alcoholic Hepatitis	D006519
Alcoholic Intoxication	D000435
Alcoholic Intoxication, Chronic	D000437
Alcoholic Korsakoff Syndrome	D000076042
Alcoholic Liver Cirrhosis	D008104
Alcoholic Liver Disease	D008108
Alcoholic Liver Diseases	D008108
Alcoholic Neuropathies	D020269
Alcoholic Neuropathy	D020269
Alcoholic Pancreatitis	D019512
Alcoholic Polyneuritides	D020269
Alcoholic Polyneuritis	D020269
Alcoholic Polyneuropathies	D020269
Alcoholic Polyneuropathy	D020269
Alcoholic Psychoses	D011604
Alcoholic Seizure	D020270
Alcoholic Seizures	D020270
Alcoholic Wernicke-Korsakoff Syndrome	D000076042
Alcoholic Wernicke Korsakoff Syndrome	D000076042
Alcohol-Induced Amnestic Psychoses	D000425
Alcohol-Induced Amnestic Psychosis	D000425
Alcohol Induced Amnestic Psychosis	D000425
Alcohol-Induced Amnestic Syndrome	D000425
Alcohol Induced Amnestic Syndrome	D000425
Alcohol-Induced Amnestic Syndromes	D000425
Alcohol-Induced Disorder	D020751
Alcohol-Induced Disorders	D020751
Alcohol Induced Disorders	D020751
Alcohol-Induced Disorders, Nervous System	D020268
Alcohol Induced Disorders, Nervous System	D020268
Alcohol-Induced Dysmnesic Psychoses	D000425
Alcohol-Induced Dysmnesic Psychosis	D000425
Alcohol Induced Dysmnesic Psychosis	D000425
Alcohol-Induced Dysmnesic Syndrome	D000425
Alcohol Induced Dysmnesic Syndrome	D000425
Alcohol-Induced Dysmnesic Syndromes	D000425
Alcohol-Induced Korsakoff Syndrome	D000076042
Alcohol Induced Korsakoff Syndrome	D000076042
Alcohol-Induced Peripheral Neuropathies	D020269
Alcohol-Induced Peripheral Neuropathy	D020269
Alcohol Induced Peripheral Neuropathy	D020269
Alcohol-Induced Persisting Amnestic Disorder	D000425
Alcohol Induced Persisting Amnestic Disorder	D000425
Alcohol-Induced Polyneuropathies	D020269
Alcohol-Induced Polyneuropathy	D020269
Alcohol Induced Polyneuropathy	D020269
Alcoholism	D000437
Alcohol-Related Autonomic Polyneuropathies	D020269
Alcohol-Related Autonomic Polyneuropathy	D020269
Alcohol Related Autonomic Polyneuropathy	D020269
Alcohol-Related Disorder	D019973
Alcohol-Related Disorders	D019973
Alcohol Related Disorders	D019973
Alcohol-Related Polyneuropathies	D020269
Alcohol-Related Polyneuropathy	D020269
Alcohol Related Polyneuropathy	D020269
Alcohol-Related Seizure	D020270
Alcohol-Related Seizures	D020270
Alcohol Related Seizures	D020270
Alcohol Withdrawal Delirium	D000430
Alcohol Withdrawal-Induced Delirium Tremens	D000430
Alcohol Withdrawal Induced Delirium Tremens	D000430
Alcohol Withdrawal-Induced Seizure	D020270
Alcohol Withdrawal Induced Seizure	D020270
Alcohol Withdrawal-Induced Seizures	D020270
Alcohol Withdrawal Seizure	D020270
Alcohol Withdrawal Seizures	D020270
ALD (Adrenoleukodystrophy)	D000326
ALDOB Deficiencies	D005633
ALDOB Deficiency	D005633
Aldolase B Deficiencies	D005633
Aldolase B Deficiency	D005633
Aldolase Deficiencies, Fructose-1,6-Biphosphate	D005633
Aldolase Deficiencies, Fructose-1-Phosphate	D005633
Aldolase Deficiency, Fructose-1,6-Biphosphate	D005633
Aldolase Deficiency, Fructose-1-Phosphate	D005633
Aldosteronism	D006929
Aldosteronism with Hyperplasia of the Adrenal Cortex	D001477
Aldrich Syndrome	D014923
Alert Fatigue, Health Personnel	D000071064
Alert Fatigue Health Personnel	D000071064
Aleukemic Reticuloendothelioses, Systemic	D006646
Aleukemic Reticuloendotheliosis, Systemic	D006646
Aleutian Disease of Mink	D000453
Aleutian Mink Disease	D000453
Alexander Disease	D038261
Alexander's Disease	D038261
Alexanders Disease	D038261
Alexia, Pure	D020237
Alexias, Pure	D020237
Alexia Syndrome Without Agraphia	D020237
Alexia Without Agraphia	D020237
Alexia Without Agraphias	D020237
Alice in Wonderland Syndrome	D062026
Alien Hand Syndrome	D055964
Alien Hand Syndromes	D055964
Aliivibrio Infection	D059707
Aliivibrio Infections	D059707
Alkaloses	D000471
Alkaloses, Respiratory	D000472
Alkalosis	D000471
Alkalosis, Respiratory	D000472
Alkaptonuria	D000474
Allachesthesia	D066190
Allachesthesias	D066190
Allergic Acute Coronary Syndrome	D000074962
Allergic Alveolitides, Extrinsic	D000542
Allergic Alveolitis, Extrinsic	D000542
Allergic Angiitides	D015267
Allergic Angiitides, Granulomatous	D015267
Allergic Angiitis	D015267
Allergic Angiitis and Granulomatosis	D015267
Allergic Angiitis, Granulomatous	D015267
Allergic Angina Syndrome	D000074962
Allergic Angina Syndromes	D000074962
Allergic Aspergilloses, Bronchopulmonary	D001229
Allergic Aspergillosis, Bronchopulmonary	D001229
Allergic Bronchopulmonary Aspergilloses	D001229
Allergic Bronchopulmonary Aspergillosis	D001229
Allergic Conjunctivitides	D003233
Allergic Conjunctivitis	D003233
Allergic Contact Dermatitides	D017449
Allergic Contact Dermatitis	D017449
Allergic Cutaneous Angiitides	D018366
Allergic Cutaneous Angiitis	D018366
Allergic Cutaneous Vasculitides	D018366
Allergic Cutaneous Vasculitis	D018366
Allergic Eczematous Dermatitides	D017449
Allergic Eczematous Dermatitis	D017449
Allergic Encephalomyelitis	D004681
Allergic Encephalomyelitis, Experimental	D004681
Allergic Granulomatoses	D015267
Allergic Granulomatosis	D015267
Allergic Granulomatous and Angiitis	D015267
Allergic Granulomatous Angiitides	D015267
Allergic Granulomatous Angiitis	D015267
Allergic Neuritis, Experimental	D009444
Allergic Purpura	D011695
Allergic Rhinitides	D065631
Allergic Rhinitides, Seasonal	D006255
Allergic Rhinitis	D065631
Allergic Rhinitis, Seasonal	D006255
Allergic Vasculitides, Cutaneous	D018366
Allergic Vasculitis, Cutaneous	D018366
Allergies	D006967
Allergies, Drug	D004342
Allergies, Egg	D021181
Allergies, Food	D005512
Allergies, Latex	D020315
Allergies, Milk	D016269
Allergies, Nut	D021184
Allergies, Peanut	D021183
Allergies, Pollen	D006255
Allergies, Rubber	D020315
Allergies, Rubber Latex	D020315
Allergies, Shellfish	D000067208
Allergies, Tree Nut	D021184
Allergies, Wheat	D021182
Allergy	D006967
Allergy, Drug	D004342
Allergy, Egg	D021181
Allergy, Food	D005512
Allergy, Latex	D020315
Allergy, Milk	D016269
Allergy, Nut	D021184
Allergy, Peanut	D021183
Allergy, Pollen	D006255
Allergy, Rubber	D020315
Allergy, Rubber Latex	D020315
Allergy, Shellfish	D000067208
Allergy, Tree Nut	D021184
Allergy, Wheat	D021182
Allesthesia	D066190
Allesthesias	D066190
Alloesthesia	D066190
Alloesthesias	D066190
Alloimmune Thrombocytopenia, Neonatal	D054098
Alloimmune Thrombocytopenias, Neonatal	D054098
Alogia	D001037
Alogias	D001037
Alopecia	D000505
Alopecia Areata	D000506
Alopecia Circumscripta	D000506
Alopecia Mucinosa	D000507
alpha 1-Antitrypsin Deficiencies	D019896
alpha 1-Antitrypsin Deficiency	D019896
alpha 1 Antitrypsin Deficiency	D019896
alpha-Cell Adenoma	D005935
alpha-Cell Adenomas	D005935
alpha-Cell Tumor	D005935
alpha Cell Tumor	D005935
alpha-Cell Tumors	D005935
alpha-Chain Disease	D007161
alpha Chain Disease	D007161
alpha-Chain Diseases	D007161
alpha-D-Mannosidase Deficiencies, Lysosomal	D008363
alpha-D-Mannosidase Deficiency, Lysosomal	D008363
Alpha-D-Mannosidosis	D008363
Alpha-Fucosidase Deficiency	D005645
alpha-Fucosidase Deficiency Disease	D005645
alpha Fucosidase Deficiency Disease	D005645
alpha-Fucosidase Deficiency Diseases	D005645
alpha-Galactosidase A Deficiency	D000795
alpha Galactosidase A Deficiency	D000795
alpha-Galactosidase A Deficiency Disease	D000795
alpha Galactosidase A Deficiency Disease	D000795
Alpha-Glucosidase Deficiencies	D006009
Alpha-Glucosidase Deficiencies, Acid	D006009
Alpha-Glucosidase Deficiency	D006009
Alpha-Glucosidase Deficiency, Acid	D006009
Alpha High Density Lipoprotein Deficiency Disease	D013631
alpha-LCAT Deficiency	D007863
alpha LCAT Deficiency	D007863
alpha-Lecithin-Cholesterol Acyltransferase Deficiency	D007863
alpha-Lecithin:Cholesterol Acyltransferase Deficiency	D007863
alpha-L-Fucosidase Deficiency	D005645
alpha-L-Fucosidase Deficiency Disease	D005645
alpha L Fucosidase Deficiency Disease	D005645
alpha-L-Fucosidase Deficiency Diseases	D005645
alpha Lipoproteinemia, Hypo	D052456
Alpha-Mannosidase B Deficiency	D008363
alpha Mannosidase B Deficiency	D008363
alpha-Mannosidase Deficiencies	D008363
alpha-Mannosidase Deficiency	D008363
alpha Mannosidase Deficiency	D008363
alpha-Mannosidoses	D008363
alpha-Mannosidosis	D008363
alpha Mannosidosis	D008363
Alpha-Mannosidosis, Type I	D008363
alpha-Thalassemia	D017085
Alpha Thalassemia	D017085
alpha-Thalassemias	D017085
Alphavirus Infection	D018354
Alpha Virus Infection	D018354
Alphavirus Infections	D018354
Alpha Virus Infections	D018354
ALS (Amyotrophic Lateral Sclerosis)	D000690
Alström Syndrome	D056769
Alstrom-Hallgren Syndrome	D056769
Alstrom Hallgren Syndrome	D056769
Alstrom's Syndrome	D056769
Alstroms Syndrome	D056769
Alstrom Syndrome	D056769
Alternarioses	D060487
Alternariosis	D060487
Altitude Sickness	D000532
Alveolar Abscess, Apical	D010482
Alveolar Abscesses, Apical	D010482
Alveolar Adenocarcinoma	D002282
Alveolar Adenocarcinomas	D002282
Alveolar Bone Atrophies	D016301
Alveolar Bone Atrophy	D016301
Alveolar Bone Loss	D016301
Alveolar Bone Losses	D016301
Alveolar Capillary Dysplasia With Misalignment Of Pulmonary Veins	D010547
Alveolar Capillary Dysplasia With Misalignment Of Pulmonary Veins And Other Congenital Anomalies	D010547
Alveolar Carcinoma	D002282
Alveolar Carcinomas	D002282
Alveolar Cell Carcinoma	D002282
Alveolar Cell Carcinomas	D002282
